lane	path	sha256	bytes	extension	default_file_class	assigned_agent
04-prd03	docs_PRD03/implementation-readiness/Artifact-Model-Catalog-Contract.md	a985448f23c656c219a94a441a35f8eae4dc9adfa7ad995629ba10e99de7c5a7	4663	md	semantic_text_candidate	agent-04
04-prd03	docs_PRD03/implementation-readiness/Benchmark-Proof-Plan.md	911b255287555b178ba3435759014a484c32836cd47bd18fb2b465bfc6b56091	4483	md	semantic_text_candidate	agent-04
04-prd03	docs_PRD03/implementation-readiness/Cells-Adoption-Falsifier-Plan.md	2a017add2efef01a334b823891a45b4393276c9b09e31fbd3c00501400bf28a9	4530	md	semantic_text_candidate	agent-04
04-prd03	docs_PRD03/implementation-readiness/GDS-Procedure-Support-Registry.tsv	ea2c5e15de817adf477cc45bcffc136116481b750b12652c73fb398399a97c06	365379	tsv	generated_structured_candidate	agent-04
04-prd03	docs_PRD03/implementation-readiness/Memory-Estimate-Formula-Book.tsv	26e03de4707223ee5d54580d57665a98c67c116dfa40fd792d6a38b0be591e6d	6189	tsv	generated_structured_candidate	agent-04
04-prd03	docs_PRD03/implementation-readiness/Neo4j-Compatibility-Canary-Matrix.md	b728f374df04ce32b3825f0ca23b8c1d501496819bb1eed85ef8932565029ae0	6177	md	semantic_text_candidate	agent-04
04-prd03	docs_PRD03/implementation-readiness/OLTP-Record-Store-Rust-Contract.md	ecd163e16bc44156e81b3cb5cd0ff173dc3abf90ad460bae69a4eff61160f964	6237	md	semantic_text_candidate	agent-04
04-prd03	docs_PRD03/implementation-readiness/Projection-Build-Store-Physical-Contract.md	7080dd711d49eb7c92cb8c530d5a2000d694e9ca980508215a457f34bd06d2af	5261	md	semantic_text_candidate	agent-04
04-prd03	docs_PRD03/implementation-readiness/README.md	31349fb614fa4c01f42ee9d882c8c0f44ab7ddaf7e9796bcb66e196273786f9b	7370	md	semantic_text_candidate	agent-04
04-prd03	docs_PRD03/implementation-readiness/Snapshot-Publication-State-Machine.md	c3e1061348545e2104584322194879112f11359459ba1c68c1f278bc663a95e7	4465	md	semantic_text_candidate	agent-04
04-prd03	docs_PRD03/implementation-readiness/Support-Status-Runtime-Semantics.md	c0d883941c76af75668e27284433f3450852ab2cb40f68124f3f1944aca6d734	4965	md	semantic_text_candidate	agent-04
04-prd03	docs_PRD03/implementation-readiness/V003-Implementation-Readiness-Tracker.tsv	4c06c442a3058f4484f07c14b925bcd9d8e09fa2c58470abba803138960a6c5d	4528	tsv	generated_structured_candidate	agent-04
04-prd03	docs_PRD03/reference-learning/Architecture-Fit-Matrix.tsv	50f12559d47af2191ff1fd175fbb68ea19432cdbdb228e1176bec17590b71f5d	22288	tsv	generated_structured_candidate	agent-04
04-prd03	docs_PRD03/reference-learning/Architecture-Option-Scorecard.tsv	8c27f3b4f8376c8e4af73505a233e90a9cbae07acd254eb8204780dc3bf785af	9937	tsv	generated_structured_candidate	agent-04
04-prd03	docs_PRD03/reference-learning/Batch-01-Current-Seed-And-GDS-Baseline.md	ab60277dbf1ffd5fa53ef08e67a2de385451991967093c8494f9e01728a26c9b	37359	md	semantic_text_candidate	agent-04
04-prd03	docs_PRD03/reference-learning/Batch-02-GDS-Public-Surface-Inventory.md	cb03917aa4f62263258d7eaeb20afb771dfa1280c6ca6637aeb224e860c19b96	15773	md	semantic_text_candidate	agent-04
04-prd03	docs_PRD03/reference-learning/Batch-03-Projection-Build-Store-Precedents.md	a10eeb65bb3f5d433b48f0f78a2790915e406f0e82a385c49648d65043c1d474	16939	md	semantic_text_candidate	agent-04
04-prd03	docs_PRD03/reference-learning/Batch-04-Publication-And-Generation-Catalog.md	d5b3dbb7cf65c96a3fe261313619426ef24a5009863e3960043cb32adde72d20	14895	md	semantic_text_candidate	agent-04
04-prd03	docs_PRD03/reference-learning/Batch-05-Neo4j-Compatibility-Boundary.md	869b0866885c4dbe3b3cc4ffe6d887414c61103c0155e5fa4632c2fa67ecc244	35417	md	semantic_text_candidate	agent-04
