lane	path	sha256	bytes	extension	file_class	coverage_status	relevance	architecture_option_ids	evidence_id
04-prd03	docs_PRD03/implementation-readiness/Artifact-Model-Catalog-Contract.md	a985448f23c656c219a94a441a35f8eae4dc9adfa7ad995629ba10e99de7c5a7	4663	md	implementation_architecture_contract	semantic_read	90	A04-OPT-01,A04-OPT-13,A04-OPT-17	A04-000001
04-prd03	docs_PRD03/implementation-readiness/Benchmark-Proof-Plan.md	911b255287555b178ba3435759014a484c32836cd47bd18fb2b465bfc6b56091	4483	md	implementation_architecture_contract	semantic_read	94	A04-OPT-04,A04-OPT-05	A04-000002
04-prd03	docs_PRD03/implementation-readiness/Cells-Adoption-Falsifier-Plan.md	2a017add2efef01a334b823891a45b4393276c9b09e31fbd3c00501400bf28a9	4530	md	implementation_architecture_contract	semantic_read	94	A04-OPT-15	A04-000003
04-prd03	docs_PRD03/implementation-readiness/GDS-Procedure-Support-Registry.tsv	ea2c5e15de817adf477cc45bcffc136116481b750b12652c73fb398399a97c06	365379	tsv	generated_surface_registry	structured_queried	74	A04-OPT-14	A04-000004
04-prd03	docs_PRD03/implementation-readiness/Memory-Estimate-Formula-Book.tsv	26e03de4707223ee5d54580d57665a98c67c116dfa40fd792d6a38b0be591e6d	6189	tsv	structured_research_matrix	structured_queried	68	A04-OPT-04,A04-OPT-05	A04-000005
04-prd03	docs_PRD03/implementation-readiness/Neo4j-Compatibility-Canary-Matrix.md	b728f374df04ce32b3825f0ca23b8c1d501496819bb1eed85ef8932565029ae0	6177	md	implementation_architecture_contract	semantic_read	94	A04-OPT-14	A04-000006
04-prd03	docs_PRD03/implementation-readiness/OLTP-Record-Store-Rust-Contract.md	ecd163e16bc44156e81b3cb5cd0ff173dc3abf90ad460bae69a4eff61160f964	6237	md	superseded_rewrite_or_research_contract	semantic_read	38	none	A04-000007
04-prd03	docs_PRD03/implementation-readiness/Projection-Build-Store-Physical-Contract.md	7080dd711d49eb7c92cb8c530d5a2000d694e9ca980508215a457f34bd06d2af	5261	md	implementation_architecture_contract	semantic_read	94	A04-OPT-02,A04-OPT-03,A04-OPT-16	A04-000008
04-prd03	docs_PRD03/implementation-readiness/README.md	31349fb614fa4c01f42ee9d882c8c0f44ab7ddaf7e9796bcb66e196273786f9b	7370	md	implementation_architecture_contract	semantic_read	90	none	A04-000009
04-prd03	docs_PRD03/implementation-readiness/Snapshot-Publication-State-Machine.md	c3e1061348545e2104584322194879112f11359459ba1c68c1f278bc663a95e7	4465	md	implementation_architecture_contract	semantic_read	94	A04-OPT-01,A04-OPT-13	A04-000010
04-prd03	docs_PRD03/implementation-readiness/Support-Status-Runtime-Semantics.md	c0d883941c76af75668e27284433f3450852ab2cb40f68124f3f1944aca6d734	4965	md	implementation_architecture_contract	semantic_read	90	none	A04-000011
04-prd03	docs_PRD03/implementation-readiness/V003-Implementation-Readiness-Tracker.tsv	4c06c442a3058f4484f07c14b925bcd9d8e09fa2c58470abba803138960a6c5d	4528	tsv	structured_coverage_or_audit	structured_queried	48	none	A04-000012
04-prd03	docs_PRD03/reference-learning/Architecture-Fit-Matrix.tsv	50f12559d47af2191ff1fd175fbb68ea19432cdbdb228e1176bec17590b71f5d	22288	tsv	structured_architecture_matrix	structured_queried	96	none	A04-000013
04-prd03	docs_PRD03/reference-learning/Architecture-Option-Scorecard.tsv	8c27f3b4f8376c8e4af73505a233e90a9cbae07acd254eb8204780dc3bf785af	9937	tsv	structured_architecture_matrix	structured_queried	96	none	A04-000014
04-prd03	docs_PRD03/reference-learning/Batch-01-Current-Seed-And-GDS-Baseline.md	ab60277dbf1ffd5fa53ef08e67a2de385451991967093c8494f9e01728a26c9b	37359	md	architecture_research_synthesis	semantic_read	92	none	A04-000015
04-prd03	docs_PRD03/reference-learning/Batch-02-GDS-Public-Surface-Inventory.md	cb03917aa4f62263258d7eaeb20afb771dfa1280c6ca6637aeb224e860c19b96	15773	md	architecture_research_synthesis	semantic_read	92	A04-OPT-14	A04-000016
04-prd03	docs_PRD03/reference-learning/Batch-03-Projection-Build-Store-Precedents.md	a10eeb65bb3f5d433b48f0f78a2790915e406f0e82a385c49648d65043c1d474	16939	md	architecture_research_synthesis	semantic_read	92	A04-OPT-02,A04-OPT-03,A04-OPT-16	A04-000017
04-prd03	docs_PRD03/reference-learning/Batch-04-Publication-And-Generation-Catalog.md	d5b3dbb7cf65c96a3fe261313619426ef24a5009863e3960043cb32adde72d20	14895	md	architecture_research_synthesis	semantic_read	92	A04-OPT-01,A04-OPT-13	A04-000018
04-prd03	docs_PRD03/reference-learning/Batch-05-Neo4j-Compatibility-Boundary.md	869b0866885c4dbe3b3cc4ffe6d887414c61103c0155e5fa4632c2fa67ecc244	35417	md	architecture_research_synthesis	semantic_read	92	A04-OPT-14	A04-000019
04-prd03	docs_PRD03/reference-learning/Batch-06-Sidecars-Planner-And-Compact-Competitors.md	791a0f8fb6acde6961199c38bd4afb8c5c6001dbae4490ae3eee0697ea0f6b3a	36068	md	architecture_research_synthesis	semantic_read	92	A04-OPT-03,A04-OPT-18	A04-000020
04-prd03	docs_PRD03/reference-learning/Batch-07-Low-RAM-Graph-Priors.md	7ae354bbd2549ff26e21d8bab6df043d38699de5dc87c73c7c1ee480977cdea7	29717	md	architecture_research_synthesis	semantic_read	96	A04-OPT-02,A04-OPT-04,A04-OPT-05,A04-OPT-06,A04-OPT-07,A04-OPT-08,A04-OPT-09	A04-000021
04-prd03	docs_PRD03/reference-learning/Batch-08-Hard-GDS-Families-And-Model-Artifacts.md	98f67bbf84991705bd9d235433174592d460f26c902d8e889840b293546c97e3	32485	md	architecture_research_synthesis	semantic_read	96	A04-OPT-01,A04-OPT-10,A04-OPT-11,A04-OPT-12,A04-OPT-13,A04-OPT-17	A04-000022
04-prd03	docs_PRD03/reference-learning/Batch-09-Benchmarks-And-Observability.md	bfb8cf322277d8f049d98ec3922e9b1a428df4b6e8b2d9ee40a3b08c95604a6b	31749	md	architecture_research_synthesis	semantic_read	96	A04-OPT-04,A04-OPT-05	A04-000023
04-prd03	docs_PRD03/reference-learning/Batch-10-GDS-Projection-Internals-And-Support-Tiers.md	ae9d0b81aad75919e3f369f5da951df4cca4238ec060aa488187275d95018799	37374	md	architecture_research_synthesis	semantic_read	96	A04-OPT-02,A04-OPT-03,A04-OPT-04,A04-OPT-11,A04-OPT-16,A04-OPT-17	A04-000024
04-prd03	docs_PRD03/reference-learning/Batch-11-Algorithm-Oracle-And-Parity-Scaffolding.md	84dd31e45f03aa2e32246713a436be31924d1160d903d583b26ca23f7214151f	34771	md	architecture_research_synthesis	semantic_read	96	A04-OPT-04,A04-OPT-06,A04-OPT-07,A04-OPT-08,A04-OPT-09,A04-OPT-10,A04-OPT-11,A04-OPT-12,A04-OPT-14	A04-000025
04-prd03	docs_PRD03/reference-learning/Current-Codebase-Low-RAM-Patterns.md	21b30c6534f71dfdafd12a958a78e01228a7c7bbe9d03a7c685cbb4c6218414f	13590	md	current_implementation_evidence	semantic_read	94	none	A04-000026
04-prd03	docs_PRD03/reference-learning/GDS-Artifact-Lifecycle-State-Machine-v2.tsv	fa38776d4b043dd83b208251d3d9363ea59f641ec52de58db8b63d97862ace98	3558	tsv	structured_research_matrix	structured_queried	68	A04-OPT-01,A04-OPT-13,A04-OPT-17	A04-000027
04-prd03	docs_PRD03/reference-learning/GDS-Behavior-Mode-Semantics-v2.tsv	1ca3f75ce3b75caceb2ffc77c6785a2636fe4a895ced774afe8ec3f5f7696054	3006	tsv	structured_research_matrix	structured_queried	68	none	A04-000028
04-prd03	docs_PRD03/reference-learning/GDS-Family-Oracle-Parity-Matrix.tsv	7881e11c286761bd75e5671cbe59e96d5420178c986686e6e3ed8d7da95e914b	5567	tsv	structured_architecture_matrix	structured_queried	96	A04-OPT-14	A04-000029
04-prd03	docs_PRD03/reference-learning/GDS-Family-Support-Tier-Matrix.tsv	d23ac0b8da614f026a9799bd96785f4cc44cb935e73cae63b2070c70a7a8dfc8	3370	tsv	structured_architecture_matrix	structured_queried	96	none	A04-000030
04-prd03	docs_PRD03/reference-learning/GDS-Memory-Formula-Book-v2.tsv	f41992906e1f90c3a276039b0d25ff1793e949916216abd2340bed64b25fe21f	6022	tsv	structured_architecture_matrix	structured_queried	96	A04-OPT-04,A04-OPT-05	A04-000031
04-prd03	docs_PRD03/reference-learning/GDS-Oracle-Extraction-Appendix-v2.tsv	1965754e72bf25d53e8a8bb11387652bf092d77494b073cf6e153c49bd8ea079	4743	tsv	structured_research_matrix	structured_queried	68	A04-OPT-14	A04-000032
04-prd03	docs_PRD03/reference-learning/GDS-PRD-L1-Evidence-Dossier-v2.md	c649750ed4a4346c9937a80f951bfb1efd9a0655cd3cf9d49bcf450163155656	14817	md	gds_architecture_evidence_dossier	semantic_read	82	none	A04-000033
04-prd03	docs_PRD03/reference-learning/GDS-PRD-L1-Evidence-Dossier.md	e62f4ac687b91d92eff943ab1a738de8e67a6dfc615e344a64ac74e4fc9a02fa	40976	md	gds_architecture_evidence_dossier	semantic_read	82	none	A04-000034
04-prd03	docs_PRD03/reference-learning/GDS-PRD-Rewrite-Patch-Plan-v2.tsv	f968c3cffc4ffccb8f6a3cb361072d5e99d966963870c71f6d6c8d6ef1169226	5176	tsv	structured_research_matrix	structured_queried	68	none	A04-000035
04-prd03	docs_PRD03/reference-learning/GDS-Parity-Taxonomy.tsv	17e4b34cbb8affded524a57bc6e6167eaeae634615fe7de00ba16137ef3cec0b	1234	tsv	structured_research_matrix	structured_queried	68	none	A04-000036
04-prd03	docs_PRD03/reference-learning/GDS-Procedure-Surface-Join-v2.tsv	b0aa1e1653c955d32a33261a0c3ade69544166b8276752cb16aec02cd70b1c7e	155301	tsv	generated_surface_registry	structured_queried	74	A04-OPT-14	A04-000037
04-prd03	docs_PRD03/reference-learning/GDS-Procedure-To-Kernel-Ledger.tsv	053f5342f26f7bf2dd99cf78c2c4a849a07a8b930ce8d23edf1568e7a8830641	12456	tsv	structured_architecture_matrix	structured_queried	96	A04-OPT-14	A04-000038
04-prd03	docs_PRD03/reference-learning/GDS-Projection-Variant-Matrix-v2.tsv	dd4731c25d9e760caa1ba2b7f7c68d2b2a8e864f69a95bf9555d8c26c20e340f	4776	tsv	structured_research_matrix	structured_queried	68	A04-OPT-02,A04-OPT-03,A04-OPT-16	A04-000039
04-prd03	docs_PRD03/reference-learning/GDS-Public-Surface-Inventory.tsv	6d0b74f2e4793035a5c63f8dd5c1d2241ee8db2b517ffb419ddd9938e2e253a1	204766	tsv	generated_surface_registry	structured_queried	74	A04-OPT-14	A04-000040
04-prd03	docs_PRD03/reference-learning/GDS-V2-Coverage-Audit.tsv	774a178406d1a5ee80968dc79e3e3c8dddc5e98863216ad442e461f736c1a693	5068	tsv	structured_coverage_or_audit	structured_queried	48	none	A04-000041
04-prd03	docs_PRD03/reference-learning/GDS-V2-Progress-Journal.md	dbd408fde5436d4be8a282d1f27c953582c380350e1b63d85a7fcb51fe3073a4	1925	md	research_context_markdown	semantic_read	60	none	A04-000042
04-prd03	docs_PRD03/reference-learning/PRD-Outcome-Traceability-Dossier.tsv	68f6e2f5665a777a8142eda7d79a78a12897c41d783dc8af583cab9073d334e4	8437	tsv	structured_coverage_or_audit	structured_queried	48	none	A04-000043
04-prd03	docs_PRD03/reference-learning/README.md	072ce26047d9afcb74555751921854b866e8a2a5a0e67cf1b62a539a5d7a5a1b	13420	md	research_context_markdown	semantic_read	60	none	A04-000044
04-prd03	docs_PRD03/reference-learning/Reference-Shelf-Graph-Evidence-Ledger.md	744d094250bc98d3671d7703a12f7165e7071575367358dfe9fa6288e26e731b	12233	md	tool_evidence_audit	semantic_read	45	none	A04-000045
04-prd03	docs_PRD03/reference-learning/Reference-Shelf-Graph-Tool-Truthcheck.tsv	f561bb0a775593f8a93dd4a27c3438566683335aa849c50965f1dbe7b30efe33	26397	tsv	structured_coverage_or_audit	structured_queried	48	none	A04-000046
04-prd03	docs_PRD03/reference-learning/Reference-Shelf-Requirement-Subpath-Coverage.tsv	54ee89f95f0802efec1f93516b1e40ce385d7cd6c0b8e6c095d0ec27588a4a8d	7432	tsv	structured_coverage_or_audit	structured_queried	48	none	A04-000047
04-prd03	docs_PRD03/reference-learning/Reference-Shelf-Subpath-Coverage-Audit.md	d32586b4d926b95c9416606a7ddfa2f6ec4307cd4e86b4ceb025069698a3a514	16139	md	tool_evidence_audit	semantic_read	45	none	A04-000048
04-prd03	docs_PRD03/reference-learning/Requirements-Coverage-Tracker.md	f25740beb6d652e012773d3fc8fa0add4564760f529a8b0f9f7607e1b07c92b3	26107	md	research_coverage_tracker	semantic_read	55	none	A04-000049
04-prd03	docs_PRD03/reference-learning/Requirements-Coverage-Tracker.tsv	70c98e05599a77c908069e6b26ff818bb95f19d49db2d739055312b48b7abd11	17429	tsv	structured_coverage_or_audit	structured_queried	48	none	A04-000050
04-prd03	docs_PRD03/reference-learning/Rust-Fixture-And-Oracle-Scaffolding.tsv	f9ea3e6473e61df8028ab0dafebeb60eaaf676b3e7be40e1f6a9928b0c690eec	1689	tsv	structured_research_matrix	structured_queried	68	A04-OPT-14	A04-000051
04-prd03	docs_PRD03/reference-learning/build_neo4j_family_graph_db.py	6080a38e0b39c75bf576608458fcffb611c099a30d7a7498dc4b385a251423f4	27667	py	evidence_generator_script	structured_queried	42	none	A04-000052
04-prd03	docs_PRD03/reference-learning/gds-v2-dossiers/001-catalog_lifecycle-GraphStore.md	53db4749b24e6192cbcdbb190bc97cec0fd8dcf4c622555b8e0aca15952b3005	7246	md	generated_gds_dossier	generated_classified	78	A04-OPT-01,A04-OPT-02,A04-OPT-03,A04-OPT-13,A04-OPT-16,A04-OPT-17	A04-000053
04-prd03	docs_PRD03/reference-learning/gds-v2-dossiers/002-memory_estimator-MemoryEstimateResult.md	8efdeea85afd51a20fcfc05c84f266714a028144a3f05980cb9763fc54182b7d	5452	md	generated_gds_dossier	structured_queried	88	A04-OPT-04,A04-OPT-05,A04-OPT-17	A04-000054
04-prd03	docs_PRD03/reference-learning/gds-v2-dossiers/003-memory_estimator-MemoryEstimation.md	90d2d5250f6c59d2b13097afd6fb54551c530c3afa84fb212c3099e670f7a3d8	6647	md	generated_gds_dossier	structured_queried	88	A04-OPT-04,A04-OPT-05	A04-000055
04-prd03	docs_PRD03/reference-learning/gds-v2-dossiers/004-projection_build-RelationshipType.md	c48242a16d9d3f0bf19f97223850df008da8a4c54e6abf0428f76bd315bce907	4961	md	generated_gds_dossier	structured_queried	84	A04-OPT-02,A04-OPT-03,A04-OPT-16	A04-000056
04-prd03	docs_PRD03/reference-learning/gds-v2-dossiers/005-projection_build-Orientation.md	8761492abbfe337f8bf433839ec40a021851753579798f09c6640b7bda034142	5435	md	generated_gds_dossier	structured_queried	84	A04-OPT-02,A04-OPT-03,A04-OPT-16	A04-000057
04-prd03	docs_PRD03/reference-learning/gds-v2-dossiers/006-projection_build-NodeLabel.md	628d07e3d0579352b07f0d3bd54fef0ba4b5b662bb77d6597b64ea48bdeebc1e	4371	md	generated_gds_dossier	structured_queried	84	A04-OPT-02,A04-OPT-03,A04-OPT-16	A04-000058
04-prd03	docs_PRD03/reference-learning/gds-v2-dossiers/007-procedure_surface-GraphDataScienceProcedures.md	b80579e286a3b5a1eb32825f5caa82e3ad3fea439f29e331f43da0c15389d28a	5043	md	generated_gds_dossier	generated_classified	63	A04-OPT-14	A04-000059
04-prd03	docs_PRD03/reference-learning/gds-v2-dossiers/008-projection_build-GraphProjectProc.md	2d7cda0fcf0c736fcda1e9e6461a413418bf8f26c3310f91723e3c43bd258041	6315	md	generated_gds_dossier	structured_queried	84	A04-OPT-02,A04-OPT-03,A04-OPT-16	A04-000060
04-prd03	docs_PRD03/reference-learning/gds-v2-dossiers/009-olap_algorithm-AlgorithmProcessingTimings.md	7ba0315994fd10ead184709d64cc0dc7c14285081e0d2a0ddb26cf9ea229a6ed	4813	md	generated_gds_dossier	structured_queried	80	none	A04-000061
04-prd03	docs_PRD03/reference-learning/gds-v2-dossiers/010-projection_build-ValueType.md	1687f4533e7b2166ed2775eec63fe90039f5e9bfb1952b5a59e9e437e972eb05	6754	md	generated_gds_dossier	structured_queried	84	A04-OPT-02,A04-OPT-03,A04-OPT-16	A04-000062
04-prd03	docs_PRD03/reference-learning/gds-v2-dossiers/011-procedure_surface-LocalCommunityProcedureFacade.md	18b44d38fd17dc64071caba576ca72a212ace79373f915974d7e91f604f5272a	7997	md	generated_gds_dossier	generated_classified	63	A04-OPT-11,A04-OPT-14	A04-000063
