repo_path	repo_name	assigned_file	thematic_slice	inspection_level	canonical_file_mentions	remaining_gap
/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/age-src	age-src	graph-database-patterns-2.md	graph_engines_query_runtimes	canonical_file_mentioned	graph-database-patterns-2.md	verify direct source depth and add missing patterns if high value
/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/antlr-grammars-v4-src	antlr-grammars-v4-src	graph-database-patterns-5.md	parsers_testing_observability_tooling	direct_source_cited	graph-database-patterns-5.md	Cypher grammar cited; deeper non-Cypher grammar corpus remains low signal for this PRD
/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/apache-arrow-ballista-src	apache-arrow-ballista-src	graph-database-patterns-3.md	storage_query_execution_systems	canonical_file_mentioned	graph-database-patterns-3.md	verify direct source depth and add missing patterns if high value
/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/apache-arrow-rs-src	apache-arrow-rs-src	graph-database-patterns-3.md	storage_query_execution_systems	canonical_file_mentioned	graph-database-patterns-3.md	verify direct source depth and add missing patterns if high value
/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/apache-arrow-src	apache-arrow-src	graph-database-patterns-3.md	storage_query_execution_systems	canonical_file_mentioned	graph-database-patterns-3.md	verify direct source depth and add missing patterns if high value
/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/apache-datafusion-src	apache-datafusion-src	graph-database-patterns-3.md	storage_query_execution_systems	canonical_file_mentioned	graph-database-patterns-3.md	verify direct source depth and add missing patterns if high value
/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/apache-hugegraph-src	apache-hugegraph-src	supplemental-gap-closure-batch-04.md	graph_engines_query_runtimes	direct_source_cited	supplemental-gap-closure-batch-04.md	Hstore tables and query pushdown cited; none unless deeper HugeGraph follow-up needed
/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/apache-iggy-src	apache-iggy-src	graph-database-patterns-3.md	storage_query_execution_systems	canonical_file_mentioned	graph-database-patterns-3.md	verify direct source depth and add missing patterns if high value
/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/apache-jena-src	apache-jena-src	graph-database-patterns-2.md	graph_engines_query_runtimes	canonical_file_mentioned	graph-database-patterns-2.md	verify direct source depth and add missing patterns if high value
/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/apache-parquet-format-src	apache-parquet-format-src	graph-database-patterns-3.md	storage_query_execution_systems	canonical_file_mentioned	graph-database-patterns-3.md	verify direct source depth and add missing patterns if high value
/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/apache-tinkerpop-src	apache-tinkerpop-src	graph-database-patterns-2.md	graph_engines_query_runtimes	canonical_file_mentioned	graph-database-patterns-2.md	verify direct source depth and add missing patterns if high value
/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/arangodb-src	arangodb-src	graph-database-patterns-2.md	graph_engines_query_runtimes	canonical_file_mentioned	graph-database-patterns-2.md	verify direct source depth and add missing patterns if high value
/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/arcadedb-src	arcadedb-src	graph-database-patterns-2.md	graph_engines_query_runtimes	canonical_file_mentioned	graph-database-patterns-2.md,graph-database-patterns-4.md,graph-database-patterns-5.md	verify direct source depth and add missing patterns if high value
/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/blazegraph-src	blazegraph-src	supplemental-gap-closure-batch-04.md	graph_engines_query_runtimes	direct_source_cited	supplemental-gap-closure-batch-04.md	Access paths, SPO key orders, and index duplication tradeoff cited
