repo	path	git_blob	bytes	extension	file_class	coverage_status	relevance	evidence_id
cypher-dsl-src	.git-blame-ignore-revs	dfb688f47582e1caf1afa12ce646a798f19cddbe	41		noncode_extensionless	noncode_classified	5	A01-000001
cypher-dsl-src	.github/CODEOWNERS	55ae9cf7acd26109406e03122606230eda396b44	40		build_or_config_extensionless	noncode_classified	5	A01-000002
cypher-dsl-src	.github/ISSUE_TEMPLATE/config.yml	0086358db1eb971c0cfa8739c27518bbc18a5ff4	27	yml	build_or_config_yml	noncode_classified	5	A01-000003
cypher-dsl-src	.github/dependabot.yml	59bff77ce5bb59f751c19f0daadfe3d333bf55a8	146	yml	build_or_config_yml	noncode_classified	5	A01-000004
cypher-dsl-src	.github/workflows/build.yml	874f7455561ccc81a661044567d527324c59cc03	4800	yml	build_or_config_yml	noncode_classified	5	A01-000005
cypher-dsl-src	.github/workflows/publish_docs.yml	847610955b7b45dbf9b98541f3b26f7d0b496340	2111	yml	build_or_config_yml	noncode_classified	5	A01-000006
cypher-dsl-src	.github/workflows/release.yml	ce52c7c2108e24402668b2f4699f798e2044ab11	1317	yml	build_or_config_yml	noncode_classified	5	A01-000007
cypher-dsl-src	.gitignore	e32d6192076b90d705907c29ef485dac629fa09b	382		noncode_extensionless	noncode_classified	5	A01-000008
cypher-dsl-src	.mvn/extensions.xml	3351be461926c209bdeca268c123dafe97a04e74	892	xml	source_xml	direct_read	18	A01-000009
cypher-dsl-src	.mvn/jvm.config	e378c038588b57b4d5f5306e952b974bcf049047	103	config	build_or_config_config	noncode_classified	5	A01-000010
cypher-dsl-src	.mvn/wrapper/maven-wrapper.jar	eebc3c18b4e0bce4a2a9e66be24c4a410f17a1fa	63093	jar	binary_archive	binary_classified	4	A01-000011
cypher-dsl-src	.mvn/wrapper/maven-wrapper.properties	970a3d02ddc6c6ce42cc773b68b7a6a2427f9c20	277	properties	build_or_config_properties	noncode_classified	5	A01-000012
cypher-dsl-src	CODE_OF_CONDUCT.md	f53a02d8bed226aed4854bb276cf3f200b9882dc	5218	md	documentation_md	graph_indexed	5	A01-000013
cypher-dsl-src	CONTRIBUTING.adoc	7d982ccfd8be163258e04f37b24663a6804959ca	9617	adoc	documentation_adoc	noncode_classified	45	A01-000014
cypher-dsl-src	LICENSE.txt	d645695673349e3947e8e5ae42332d0ac3164cd7	11358	txt	license_notice	direct_read	5	A01-000015
cypher-dsl-src	README.adoc	4eefe57fbe7c449e496acd2cc0deba8a145455df	4198	adoc	documentation_adoc	direct_read	45	A01-000016
cypher-dsl-src	bin/extract-version.sh	cd557d0c0b2764dcb059033d30688527fe7f70cc	270	sh	source_sh	graph_indexed	18	A01-000017
cypher-dsl-src	bin/prepare-release.sh	3ae79947238c0f649fb20b9545826644588b8663	373	sh	source_sh	graph_indexed	18	A01-000018
cypher-dsl-src	bin/remove-shaded-modules.sh	4a4b15f08f2b1059adce9bd83e28cb183c34afc6	304	sh	source_sh	graph_indexed	18	A01-000019
cypher-dsl-src	bin/runtests.java	145e832fc07bf4d8bece8206eeca05f150fc1970	431	java	source_java	graph_indexed	18	A01-000020
cypher-dsl-src	docs/appendix/2020.0.adoc	df7458cd414dfd863015db58a608a500fff049fd	1104	adoc	documentation_adoc	noncode_classified	45	A01-000021
cypher-dsl-src	docs/appendix/2020.1.adoc	df6fc71546279d6c8355552b1b4c8398979a9b1a	2757	adoc	documentation_adoc	noncode_classified	45	A01-000022
cypher-dsl-src	docs/appendix/2021.0.adoc	e42bba36ebb6c94b0cc9d0359f81fcceb7290474	6037	adoc	documentation_adoc	noncode_classified	45	A01-000023
cypher-dsl-src	docs/appendix/2021.1.adoc	2680ca90fcbf4b8618afccd1d627d9b9db05cbe3	4604	adoc	documentation_adoc	noncode_classified	45	A01-000024
cypher-dsl-src	docs/appendix/2021.2.adoc	7f8040fdc3b781397f362659b18f691adc34689e	5853	adoc	documentation_adoc	noncode_classified	45	A01-000025
cypher-dsl-src	docs/appendix/2021.3.adoc	f37985d41dd58197b09e449826fa6d8cb77b47ec	3059	adoc	documentation_adoc	noncode_classified	45	A01-000026
cypher-dsl-src	docs/appendix/2021.4.adoc	8eff8f22546ed518711044d068f4cd6dca1f8162	1160	adoc	documentation_adoc	noncode_classified	45	A01-000027
cypher-dsl-src	docs/appendix/2022.0.adoc	ed2a32f275e25f94eae9895ba3db1ad21ed6f4a0	1356	adoc	documentation_adoc	noncode_classified	45	A01-000028
cypher-dsl-src	docs/appendix/2022.1.adoc	ecb53e749cacdbace53e3ab3bd421f9f2bdb94b7	1828	adoc	documentation_adoc	noncode_classified	45	A01-000029
cypher-dsl-src	docs/appendix/2022.10.adoc	46f733823edcb8dbd2e59f7a503367214273b059	427	adoc	documentation_adoc	noncode_classified	45	A01-000030
cypher-dsl-src	docs/appendix/2022.11.adoc	75e3397674798e54a2329ff0ce4a7cfb917b7ae9	117	adoc	documentation_adoc	noncode_classified	45	A01-000031
cypher-dsl-src	docs/appendix/2022.2.adoc	78d13333ddd70fcea27eb5b9a3696b63e264fa8c	2618	adoc	documentation_adoc	noncode_classified	45	A01-000032
cypher-dsl-src	docs/appendix/2022.3.adoc	d382c01bfdc790c0b9fe61cd8b601e577b965b32	1707	adoc	documentation_adoc	noncode_classified	45	A01-000033
cypher-dsl-src	docs/appendix/2022.4.adoc	657d2ca0a0447794a9c07cb8a250ec548e5b8b48	1398	adoc	documentation_adoc	noncode_classified	45	A01-000034
cypher-dsl-src	docs/appendix/2022.5.adoc	a8b67c2785257bb98af05a145b6467ac66547b70	2163	adoc	documentation_adoc	noncode_classified	45	A01-000035
cypher-dsl-src	docs/appendix/2022.6.adoc	1de686ae0f6d6aa0e92f9ccf7876620dcf23fcf0	1334	adoc	documentation_adoc	noncode_classified	45	A01-000036
cypher-dsl-src	docs/appendix/2022.7.adoc	103de3845287ce3409839b1ac4ae6faba3244ae8	4961	adoc	documentation_adoc	noncode_classified	45	A01-000037
cypher-dsl-src	docs/appendix/2022.8.adoc	54bd5ffe9443b3c77158f18c94bd2d5978d6af5b	3700	adoc	documentation_adoc	noncode_classified	45	A01-000038
cypher-dsl-src	docs/appendix/2022.9.adoc	fd7d3b6d62111521fe816588a5b5ce7bc06b3eec	1183	adoc	documentation_adoc	noncode_classified	45	A01-000039
cypher-dsl-src	docs/appendix/2023.0.adoc	4cb4195c7baa097bbf6bbb7177dcfa2cfa13e867	6861	adoc	documentation_adoc	noncode_classified	45	A01-000040
cypher-dsl-src	docs/appendix/2023.1.adoc	efceacdff7a5abc05d3b09374ba5318df18c71d2	4231	adoc	documentation_adoc	noncode_classified	45	A01-000041
cypher-dsl-src	docs/appendix/2023.2.adoc	0f9aabd18c9bb876cc63bdc2c23f1538811bf6bb	4838	adoc	documentation_adoc	noncode_classified	45	A01-000042
cypher-dsl-src	docs/appendix/2023.3.adoc	ae66b1bbe8400cfa6b6d45158df6c0efe506d0ce	3007	adoc	documentation_adoc	noncode_classified	45	A01-000043
