canonical_hint	raw_name	path	line_start	line_end	context_kind	evidence_id
connected-components	WCC	docs_PRD06/graph-learning/algorithm-application-domains-map.md	26	26	algorithm_family	A09-O0001
hook-shortcut	hooking	docs_PRD06/graph-learning/algorithm-application-domains-map.md	26	26	algorithm	A09-O0002
csr-build	CSR	docs_PRD06/graph-learning/algorithm-application-domains-map.md	27	27	storage_algorithm	A09-O0003
louvain	Louvain	docs_PRD06/graph-learning/algorithm-application-domains-map.md	29	29	algorithm	A09-O0004
leiden	Leiden	docs_PRD06/graph-learning/algorithm-application-domains-map.md	29	29	algorithm	A09-O0005
community-detection	community detection	docs_PRD06/graph-learning/algorithm-application-domains-map.md	29	29	algorithm_family	A09-O0006
pagerank	PageRank	docs_PRD06/graph-learning/algorithm-application-domains-map.md	32	32	algorithm	A09-O0007
centrality-family	centrality	docs_PRD06/graph-learning/algorithm-application-domains-map.md	32	32	algorithm_family	A09-O0008
nodesimilarity	NodeSimilarity	docs_PRD06/graph-learning/algorithm-application-domains-map.md	35	35	algorithm_family	A09-O0009
jaccard-overlap-cosine	overlap	docs_PRD06/graph-learning/algorithm-application-domains-map.md	35	35	algorithm_family	A09-O0010
knn-search	KNN	docs_PRD06/graph-learning/algorithm-application-domains-map.md	35	35	algorithm_family	A09-O0011
bfs	BFS	docs_PRD06/graph-learning/algorithm-application-domains-map.md	38	38	algorithm	A09-O0012
shortest-paths	shortest path	docs_PRD06/graph-learning/algorithm-application-domains-map.md	38	38	algorithm_family	A09-O0013
frontier-push-pull	push/pull	docs_PRD06/graph-learning/algorithm-application-domains-map.md	38	38	algorithm_family	A09-O0014
fastrp	FastRP	docs_PRD06/graph-learning/algorithm-application-domains-map.md	41	41	algorithm	A09-O0015
graph-embeddings	embeddings	docs_PRD06/graph-learning/algorithm-application-domains-map.md	41	41	algorithm_family	A09-O0016
spmv-spgemm	SpMV	docs_PRD06/graph-learning/algorithm-application-domains-map.md	41	41	algorithm_family	A09-O0017
k-core	k-core	docs_PRD06/graph-learning/algorithm-application-domains-map.md	43	43	algorithm	A09-O0018
triangle-counting	triangles	docs_PRD06/graph-learning/algorithm-application-domains-map.md	43	43	algorithm	A09-O0019
connected-components	WCC	docs_PRD06/graph-learning/algorithm-application-domains-map.md	50	50	algorithm_family	A09-O0020
pagerank	PageRank	docs_PRD06/graph-learning/algorithm-application-domains-map.md	50	50	algorithm	A09-O0021
louvain	Louvain	docs_PRD06/graph-learning/algorithm-application-domains-map.md	50	50	algorithm	A09-O0022
knn-search	KNN	docs_PRD06/graph-learning/algorithm-application-domains-map.md	50	50	algorithm_family	A09-O0023
connected-components	WCC	docs_PRD06/graph-learning/algorithm-application-domains-map.md	51	51	algorithm_family	A09-O0024
jaccard-overlap-cosine	overlap	docs_PRD06/graph-learning/algorithm-application-domains-map.md	51	51	algorithm_family	A09-O0025
pagerank	PageRank	docs_PRD06/graph-learning/algorithm-application-domains-map.md	52	52	algorithm	A09-O0026
knn-search	KNN	docs_PRD06/graph-learning/algorithm-application-domains-map.md	52	52	algorithm_family	A09-O0027
fastrp	FastRP	docs_PRD06/graph-learning/algorithm-application-domains-map.md	52	52	algorithm	A09-O0028
graph-embeddings	embeddings	docs_PRD06/graph-learning/algorithm-application-domains-map.md	52	52	algorithm_family	A09-O0029
reachability	reachability	docs_PRD06/graph-learning/algorithm-application-domains-map.md	53	53	algorithm_family	A09-O0030
shortest-paths	shortest path	docs_PRD06/graph-learning/algorithm-application-domains-map.md	53	53	algorithm_family	A09-O0031
connected-components	WCC	docs_PRD06/graph-learning/algorithm-application-domains-map.md	53	53	algorithm_family	A09-O0032
