canonical_hint	raw_name	path	line_start	line_end	context_kind	evidence_id
hnsw-search	HNSW	docs_PRD06/graph-learning/SPEC-graph-learning-corpus-research.md	169	169	algorithm	A07-O0001
csr-build	CSR	docs_PRD06/graph-learning/SPEC-graph-learning-corpus-research.md	169	169	storage_algorithm	A07-O0002
lsm-compaction	LSM	docs_PRD06/graph-learning/SPEC-graph-learning-corpus-research.md	170	170	storage_algorithm	A07-O0003
frontier-push-pull	push-pull	docs_PRD06/graph-learning/SPEC-graph-learning-corpus-research.md	170	170	algorithm_family	A07-O0004
posting-compression	posting	docs_PRD06/graph-learning/SPEC-graph-learning-corpus-research.md	171	171	storage_algorithm	A07-O0005
wal-group-commit	WAL	docs_PRD06/graph-learning/SPEC-graph-learning-corpus-research.md	172	172	storage_algorithm	A07-O0006
roaring-idsets	roaring	docs_PRD06/graph-learning/SPEC-graph-learning-corpus-research.md	172	172	storage_algorithm	A07-O0007
cow-tree-snapshot	copy-on-write	docs_PRD06/graph-learning/SPEC-graph-learning-corpus-research.md	173	173	storage_algorithm	A07-O0008
mvcc-snapshot	MVCC	docs_PRD06/graph-learning/SPEC-graph-learning-corpus-research.md	173	173	protocol	A07-O0009
superstep-bsp	superstep	docs_PRD06/graph-learning/SPEC-graph-learning-corpus-research.md	174	174	algorithm_family	A07-O0010
louvain	Louvain	docs_PRD06/graph-learning/SPEC-graph-learning-corpus-research.md	175	175	algorithm	A07-O0011
leiden	Leiden	docs_PRD06/graph-learning/SPEC-graph-learning-corpus-research.md	175	175	algorithm	A07-O0012
hook-shortcut	shortcut	docs_PRD06/graph-learning/SPEC-graph-learning-corpus-research.md	176	176	algorithm	A07-O0013
bloom-filter	bloom	docs_PRD06/graph-learning/SPEC-graph-learning-corpus-research.md	176	176	storage_algorithm	A07-O0014
centrality-family	centrality	docs_PRD06/graph-learning/algorithm-application-domains-map-v3.md	65	65	algorithm_family	A07-O0015
betweenness-centrality	betweenness	docs_PRD06/graph-learning/algorithm-application-domains-map-v3.md	65	65	algorithm	A07-O0016
community-detection	community detection	docs_PRD06/graph-learning/algorithm-application-domains-map-v3.md	67	67	algorithm_family	A07-O0017
triangle-counting	triangle	docs_PRD06/graph-learning/algorithm-application-domains-map-v3.md	67	67	algorithm	A07-O0018
k-core	k-core	docs_PRD06/graph-learning/algorithm-application-domains-map-v3.md	69	69	algorithm	A07-O0019
betweenness-centrality	betweenness	docs_PRD06/graph-learning/algorithm-application-domains-map-v3.md	82	82	algorithm	A07-O0020
louvain	Louvain	docs_PRD06/graph-learning/algorithm-application-domains-map-v3.md	83	83	algorithm	A07-O0021
k-core	k-core	docs_PRD06/graph-learning/algorithm-application-domains-map-v3.md	84	84	algorithm	A07-O0022
reachability	reachability	docs_PRD06/graph-learning/algorithm-application-domains-map-v3.md	99	99	algorithm_family	A07-O0023
