lane	path	sha256	bytes	line_count	read_span	coverage_status	algorithms_mentioned	patterns_mentioned	evidence_id
lane-09	docs_PRD06/graph-learning/algorithm-application-domains-map.md	1893a2a27686a8946b086d9443e2429a278d3285d9a5f73ef8acf48d2c112bfa	14124	274	1-274	line_read	betweenness-centrality,bfs,centrality-family,community-detection,connected-components,csr-build,dijkstra,fastrp,frontier-push-pull,graph-embeddings,hnsw-search,hook-shortcut,jaccard-overlap-cosine,k-core,knn-search,leiden,louvain,nodesimilarity,out-of-core-graph-processing,pagerank,reachability,shortest-paths,spmv-spgemm,triangle-counting,yen-k-shortest	history-checking,tolerant-validation	A09-F0001
lane-09	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	0c2bb01231f5f58f25df61d4aed19588b97df5b16c2e275c06a17fc3fb4de234	8150	167	1-167	line_read	connected-components,hook-shortcut	bolt-protocol,differential-validation,history-checking,metamorphic-testing,packstream-encoding,recall-validation,stub-conformance,tolerant-validation	A09-F0002
lane-09	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	0f40846b83ad80a6acdae28948d3425de4005dbf3ae4ddc34df3d0094b4430e9	6908	161	1-161	line_read	bloom-filter,fst-dictionary,hook-shortcut,jaccard-overlap-cosine,lsm-compaction,ordered-search-merge,posting-compression,roaring-idsets	mvcc-snapshot	A09-F0003
lane-09	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	7c76b6a28e44cbc8e21b2de19840a4fcef74a0096014761d00e3a9c06892ab27	7965	154	1-154	line_read	bm25-scoring,hnsw-search,ivf-probe,jaccard-overlap-cosine,posting-compression,rank-fusion,wand-pruning	none	A09-F0004
lane-09	docs_PRD06/graph-learning/component-hooking-shortcutting-ascii.md	0e02354f609b81c1d50c14f64bcd9b5d36de503d17c5e91b10999372daaf753d	7148	163	1-163	line_read	a-star,afforest,bfs,connected-components,csr-build,fastsv,hook-shortcut,immutable-delta-rebuild,jaccard-overlap-cosine,label-propagation,semiring-traversal,superstep-bsp,union-find	tolerant-validation	A09-F0005
lane-09	docs_PRD06/graph-learning/corpus-capstone-pattern-synthesis-mermaid.md	2e1308dd385ae3c813bdb7ad0a05037da60a6af71bfa5525f2dabe24ba07ca6b	8812	151	1-151	line_read	bloom-filter,bm25-scoring,cow-tree-snapshot,csr-build,fst-dictionary,graph-embeddings,graph-partitioning,hashgnn,hnsw-search,incremental-delta-iteration,ivf-probe,lsm-compaction,out-of-core-graph-processing,posting-compression,roaring-idsets,superstep-bsp,vamana-ann,vector-quantization,wal-group-commit,wand-pruning,worst-case-optimal-join	metamorphic-testing,mvcc-snapshot,packstream-encoding,pull-operator-pipeline,stub-conformance,tolerant-validation	A09-F0006
lane-09	docs_PRD06/graph-learning/corpus-research-findings.md	40db25102cbdf7b6a49d0529bb277952a9ddc4d9f050f641baf0d72639970f9f	6570	116	1-116	line_read	hashgnn,hnsw-search,lsm-compaction,out-of-core-graph-processing,roaring-idsets,semiring-traversal,vamana-ann	history-checking,stub-conformance	A09-F0007
lane-09	docs_PRD06/graph-learning/cow-tree-snapshot-mermaid.md	abc9d11dd15faccd303186db0a9fd6fed11e83819cdd94e38f76f7baa2712c42	7079	162	1-162	line_read	cow-tree-snapshot,eigenvector-family,jaccard-overlap-cosine,lsm-compaction,wal-group-commit	mvcc-snapshot	A09-F0008
lane-09	docs_PRD06/graph-learning/dataflow-compute-pattern-synthesis-mermaid.md	e39e1a0f54e5671262a5a9bd8ab05099d3ec33623a2f0fdb4f38cbd94658484d	8446	152	1-152	line_read	bfs,connected-components,graph-partitioning,hook-shortcut,incremental-delta-iteration,lsm-compaction,pagerank,reachability,superstep-bsp	history-checking,pull-operator-pipeline	A09-F0009
lane-09	docs_PRD06/graph-learning/diskann-vamana-layout-ascii.md	01059f65ebfece93fd731cd4032fbc6575f2d51a0786b855ee43db0369d7da54	7080	156	1-156	line_read	cow-tree-snapshot,csr-build,hnsw-search,ivf-probe,jaccard-overlap-cosine,lsm-compaction,vamana-ann,vector-quantization	recall-validation	A09-F0010
lane-09	docs_PRD06/graph-learning/diskann-vamana-layout-mermaid.md	b23bedb28b7e40f2369607bebd3f51c2d83cd9d0dfcda5fdd941886828c986da	7771	157	1-157	line_read	csr-build,degree-centrality,hnsw-search,hook-shortcut,ivf-probe,jaccard-overlap-cosine,lsm-compaction,vamana-ann,vector-quantization	recall-validation	A09-F0011
