lane	path	sha256	bytes	line_count	read_span	coverage_status	algorithms_mentioned	patterns_mentioned	evidence_id
lane-07	docs_PRD06/graph-learning/SPEC-graph-learning-corpus-research.md	d5af00a2947e2162a78106cfbff68eac0cc2998b4e6b56e43781bfb32ca1d928	10412	195	1-195	line_read	csr-adjacency,hnsw-greedy-descent,lsm-compaction,push-pull-frontier,posting-list-compression,immutable-segment-merge,sparse-matrix-graph-algebra,wal-group-commit,mvcc-snapshot-visibility,copy-on-write-snapshots,product-quantization,differential-incremental-computation,two-phase-query-planning,louvain-leiden,delta-varint-encoding,bloom-filter,differential-oracle-testing	roaring-bitmap-idsets,vertex-centric-supersteps	A07-F0001
lane-07	docs_PRD06/graph-learning/algorithm-application-domains-map-v3.md	9a33bb357d0a678c2a0c3e8875dd39ee409d55756e5220df59c451d05d750304	18546	379	1-379	line_read	betweenness-centrality,community-detection,louvain,k-core,shortest-path,constrained-shortest-path,connected-components,reachability,min-cut,flow,matching,pagerank,strongly-connected-components,sir-model,incremental-maintenance,node-similarity,wcc	centrality-family,temporal-graph,graph-materialization	A07-F0002
lane-07	docs_PRD06/graph-learning/bm25-wand-pruning-ascii.md	1a3fcf3ef1fb76f5c3fdc1a6f071b2948ce2aa93584ccedb4751da6f25bafc78	7045	165	1-165	line_read	bm25,wand,block-max-wand,bm25f,rrf,linear-score-fusion,personalized-pagerank,top-k-join,hnsw,ivf	posting-block-compression,top-k-heap	A07-F0003
lane-07	docs_PRD06/graph-learning/corpus-ledger.tsv	4cb2917b5cd98068891833666e7a17748ba2124ef01b5c1d1941c31ed9633a49	36808	173	1-173	line_read	mvcc,hnsw,differential-dataflow,graph-partitioning,fill-reducing-matrix-ordering,ann-search,similarity-search,clustering,knn,diskann,lsm-tree,b-plus-tree,webgraph-compression	graphblas,roaring-bitmap,datalog,packstream-bolt	A07-F0004
lane-07	docs_PRD06/graph-learning/delta-stepping-buckets-mermaid.md	59c1888fbd05d4467c7246a3a4e2eed05ecfa8dc3284811334cf0e984a94a19c	8031	162	1-162	line_read	delta-stepping,dijkstra,bellman-ford,bfs,k-core,weighted-bfs,pagerank,component-hooking-shortcutting,lsm-compaction	min-plus-semiring,thread-local-buckets	A07-F0005
lane-07	docs_PRD06/graph-learning/frontier-pushpull-switching-mermaid.md	45440d67e4ddc751198363cf9686ba03652a3765f3555684f71fe8b372c0bc20	7735	152	1-152	line_read	push-pull-frontier,bfs,prefix-sum-compaction,connected-components-label-propagation,pagerank,delta-stepping,lsm-compaction	csr,csc,roaring-bitmap,pregel-edgemap	A07-F0006
lane-07	docs_PRD06/graph-learning/fst-term-dictionary-ascii.md	4938ac2aacd6e3b9e97a09943de525f5e5e85883912391c93fb53c557ae59303	7297	158	1-158	line_read	fst-minimization,automaton-intersection,levenshtein-automaton,edit-distance,hnsw,skip-list,bloom-filter,bit-packing,bisimulation	trie,sstable-term-dictionary,b-tree,term-ordinal-table	A07-F0007
lane-07	docs_PRD06/graph-learning/full-text-search-pattern-synthesis-ascii.md	252ebc8c6a96090eee278d1d8d0712d7536de79369c00be85c80bda496dae8c0	7961	175	1-175	line_read	sort-at-flush,posting-block-compression,bm25,wand,block-max-wand,fst-minimization,lsm-segment-merge,webgraph-compression,ivf,rrf,stemming,cjk-segmentation,learned-ranking	immutable-segments,tombstone-bitmap,mvcc,csr,sstable-dictionary	A07-F0008
lane-07	docs_PRD06/graph-learning/graph-db-pattern-synthesis-ascii.md	7950b70ead94bd515a34465a74393dfb8a6c57a87b09dac1a72cb18b5ee69e6a	7614	163	1-163	line_read	record-chain-adjacency,csr-adjacency,triple-permutation-indexing,pull-operator-pipeline,lsm-compaction,wal-group-commit,mvcc,posting-compression,top-k-pruning,batch-execution,raft,edge-cut,vertex-cut	kv-adjacency,packstream-bolt,page-checksum	A07-F0009
lane-07	docs_PRD06/graph-learning/graph-db-pattern-synthesis-mermaid.md	5d9b1f4e1701ed887a605bbc4658780fe90875df020077eea1fec7ac0a733859	8332	153	1-153	line_read	record-chain-adjacency,csr-adjacency,triple-permutation-indexing,pull-operator-pipeline,lsm-compaction,wal-group-commit,mvcc,posting-compression,top-k-pruning,batch-execution,raft,edge-cut,vertex-cut	kv-adjacency,packstream-bolt,query-tck	A07-F0010
lane-07	docs_PRD06/graph-learning/ivf-partitioned-probe-ascii.md	c5c9ecc0522915a688819e513610f2b302fa7665317336bbb6baabbfd6b071b2	6893	157	1-157	line_read	ivf,k-means,hnsw,product-quantization,scalar-quantization,adc,ivf-pq,flat-scan,diskann,vamana	inverted-lists,residual-encoding,top-k-heap	A07-F0011
lane-07	docs_PRD06/graph-learning/ivf-partitioned-probe-mermaid.md	641219922654877e7ecf7d334993ad52820d7b7df2d2a918ce0ba866c1460df6	7921	155	1-155	line_read	ivf,k-means,hnsw,product-quantization,scalar-quantization,adc,ivf-pq,flat-scan,vamana,beam-search,reclustering	inverted-lists,residual-encoding,tombstones	A07-F0012
lane-07	docs_PRD06/graph-learning/metamorphic-oracle-testing-mermaid.md	f18b8e56248daeb9503055443fa3af2a2d5166ab13e8cedf92c7643368428ad9	7711	150	1-150	line_read	tlp,norec,jepsen-history-checking,knossos-linearizability,differential-testing,test-case-reduction,pqs,cert,coddtest	metamorphic-testing,round-trip-testing,stub-conformance	A07-F0013
lane-07	docs_PRD06/graph-learning/mvcc-snapshot-visibility-mermaid.md	343f6d5ab05bd911676fd8e7db50e90ce2ad22679abb0bb31a366d01e701ecf4	6518	159	1-159	line_read	mvcc-snapshot-visibility,conflict-detection,version-garbage-collection,compaction-time-gc,wal-group-commit,percolator,aries	sequence-number-publication,watermark,copy-on-write-snapshot	A07-F0014
lane-07	docs_PRD06/graph-learning/neo4j-ecosystem-pattern-synthesis-mermaid.md	7694db2f8065425cc5a2f4b077a5919a97842880680e4f2d44685e0bc1f0c6fb	8406	152	1-152	line_read	differential-dataflow,jepsen-history-checking	packstream-bolt,stub-script-conformance,tck,byte-diff	A07-F0015
lane-07	docs_PRD06/graph-learning/packstream-wire-encoding-ascii.md	9054f4f213e9d53aa180821d389ff94f58fe475f19590b9b41764ba6b651b107	6540	151	1-151	line_read	NONE	packstream,binary-serialization,smallest-width-encoding,bolt-chunking,byte-differential-testing	A07-F0016
lane-07	docs_PRD06/graph-learning/product-quantization-ladder-mermaid.md	b3810808fc4ba89c2724499a89c6e77f94063b41be62c9dbea93684f2ff93cc5	7721	152	1-152	line_read	scalar-quantization,turbo-quantization,product-quantization,binary-quantization,k-means,adc,sdc,hamming-distance,hnsw,ivf,diskann,sbq	codebook,lut,rescoring,bloom-filter-gate	A07-F0017
lane-07	docs_PRD06/graph-learning/proprietary-tools-landscape.md	0abc89d73da0c2d3b993c310cc49498452e9f7427db37be0084e98143493d74f	6866	77	1-77	line_read	ann-search,scann-anisotropic-quantization,bloom-filter,wcc,similarity	openCypher,gremlin,sparql,graph-rag	A07-F0018
lane-07	docs_PRD06/graph-learning/pull-operator-pipeline-ascii.md	1b5b52e53a5da417877d1c5b3634afdfa41b7d49e747ff1b518de8f12c8c56f8	7046	163	1-163	line_read	volcano-pull-pipeline,tuple-at-a-time,vector-at-a-time,cost-based-planning,join-enumeration,sort,aggregate,hash-join,bm25-wand	ast,selection-vector,compiled-execution	A07-F0019
lane-07	docs_PRD06/graph-learning/record-chain-adjacency-ascii.md	caac0b3bed1bdb18a55dec33f0e8fd5b52817842e32823f7e48dcb372d1a8bf0	7909	170	1-170	line_read	record-chain-adjacency,csr-adjacency,b-tree-index-scan,lsm-compaction,posting-list-compression,packed-memory-array	kv-adjacency,fixed-size-records,density-slack,mvcc	A07-F0020
lane-07	docs_PRD06/graph-learning/storage-engine-pattern-synthesis-ascii.md	b6d42dd53b22a536d28380d5dd5fb0abaaea0dc9856302c578aab36874fc11ea	8190	178	1-178	line_read	lsm-leveled-compaction,lsm-tiered-compaction,wal-group-commit,roaring-bitmap,mvcc,copy-on-write-tree,bloom-filter,version-garbage-collection,b-epsilon-tree,fractal-tree,faster-hybrid-log,page-reconciliation,rank-select	immutable-sstable,manifest-flip,freelist,watermark	A07-F0021
lane-07	docs_PRD06/graph-learning/stub-script-conformance-ascii.md	f77f2940499329fa14481dcd3d7cf31ceba3094d0fc38d5f6cc8423afa11d4a2	6943	151	1-151	line_read	sqlancer,jepsen	stub-script-conformance,packstream-bolt,json-adapter,protocol-replay	A07-F0022
lane-07	docs_PRD06/graph-learning/superstep-message-convergence-mermaid.md	dd22a3ac944e8d85c4a16cf06bbb448c500f0d41a1491c181f6ff15405fc515a	7683	154	1-154	line_read	pregel-supersteps,mapreduce-triplets,connected-components-label-propagation,random-vertex-cut,edge-partition-2d,hooking-shortcutting,differential-incremental-computation,pagerank	checkpointing,active-set,combiner	A07-F0023
lane-07	docs_PRD06/graph-learning/tolerant-equivalence-validation-ascii.md	d190330ae5b9b7fb2eb2f9767841bf7dcf328b14a2afd4a42991ceb84a2dd341	7905	169	1-169	line_read	exact-match-validation,epsilon-validation,partition-isomorphism,distance-threshold-recall,differential-testing,bfs,cdlp,wcc,pagerank,sssp,louvain,hnsw,component-hooking-shortcutting	canonicalization,sentinel-enumeration	A07-F0024
